"PaymentID";"CustomerId";"ProductId";"TransactionDate";"CreditCard";"CreditCardNumber"
"3423609";"991";"10016";"2013-01-30T04:16:24";"visaelectron";"4508 7346 2588 9517"
"3423610";"775";"10041";"2013-01-02T09:09:38";"instapayment";"6386 7466 0513 5812"
"3423611";"234";"10310";"2013-01-07T12:21:58";"visa";"4065 0734 3303 7224"
"3423612";"371";"10114";"2013-01-30T07:45:45";"amex";"3797 2886 9038 850"
"3423613";"621";"10248";"2013-01-04T12:52:21";"mastercard";"5582 0698 7744 9116"
"3423614";"730";"10279";"2013-01-24T08:08:53";"amex";"3750 5967 8390 579"
"3423615";"491";"10123";"2013-01-16T12:17:21";"visa";"4119 3823 5830 5839"
"3423616";"147";"10220";"2013-01-29T06:55:48";"visa";"4104 5004 0613 0704"
"3423617";"589";"10208";"2013-01-03T01:05:04";"visa";"4327 9730 5076 2398"
"3423618";"967";"10031";"2013-01-08T12:00:38";"maestro";"6762 0929 7745 1311"
"3423619";"140";"10328";"2013-01-27T05:19:23";"visaelectron";"4508 7757 6391 1415"
"3423620";"907";"10336";"2013-01-01T01:53:24";"instapayment";"6390 0420 4417 0287"
"3423621";"270";"10107";"2013-01-03T09:08:16";"visaelectron";"4508 3402 6778 1218"
"3423622";"190";"10001";"2013-01-27T10:27:22";"visaelectron";"4508 6447 4455 0751"
"3423623";"821";"10006";"2013-01-24T09:13:16";"instapayment";"6399 3624 0807 9994"
"3423624";"575";"10008";"2013-01-12T02:34:29";"amex";"3415 1828 8497 158"
"3423625";"229";"10119";"2013-01-08T09:28:51";"amex";"3730 3302 5031 840"
"3423626";"932";"10028";"2013-01-03T06:21:25";"mastercard";"5579 1178 8636 3045"
"3423627";"59";"10166";"2013-01-23T03:46:47";"visa";"4745 9376 0691 4005"
"3423628";"365";"10164";"2013-01-09T06:45:54";"mastercard";"5451 3540 4330 6988"
"3423629";"777";"10188";"2013-01-27T11:25:25";"instapayment";"6390 8716 5826 9492"
"3423630";"838";"10335";"2013-01-06T07:29:54";"visaelectron";"4913 9804 6944 5036"
"3423631";"504";"10147";"2013-01-12T02:09:51";"maestro";"5018 3638 7468 3312"
"3423632";"898";"10202";"2013-01-18T06:05:56";"maestro";"6761 5113 4098 7827"
"3423633";"811";"10003";"2013-01-25T10:06:58";"visaelectron";"4844 9776 6008 3107"
"3423634";"330";"10018";"2013-01-06T01:57:42";"visa";"4319 7573 1351 4849"
