PaymentID;CustomerId;ProductId;TransactionDate;CreditCard;CreditCardNumber;Products;ProductName;CompanyName;Price
3423609;991;10016;2013-01-30T04:16:24;visaelectron;4508 7346 2588 9517;10016;Dremel 7700-1/15 7.2-volt Multipro Cordless Rotary Kit With 15 Accessories;Nustar Energy;491.71
3423610;775;10041;2013-01-02T09:09:38;instapayment;6386 7466 0513 5812;10041;Numax 18 Gauge 2 In 1 Brad Nailer & Stapler;At&t;352.89
3423611;234;10310;2013-01-07T12:21:58;visa;4065 0734 3303 7224;10310;Pro-lift W-1010a 10-gallon Air Tank;Baker Hughesorporated;583.19
3423613;621;10248;2013-01-04T12:52:21;mastercard;5582 0698 7744 9116;10248;Campbell Hausfeld 8gal Oil Free Air Compressor;The Impac Companies;583.94
3423614;730;10279;2013-01-24T08:08:53;amex;3750 5967 8390 579;10279;Lumberjack Tools Trh2000 2in Home Series Tenon Cutter;Omnicom Group;674.76
3423615;491;10123;2013-01-16T12:17:21;visa;4119 3823 5830 5839;10123;Hitachi 4 Gallon Twin Stack Air Compressor;The Scotts Miracle-gro Company;520.95
3423619;140;10328;2013-01-27T05:19:23;visaelectron;4508 7757 6391 1415;10328;Kawasaki Composite Air Hammer Kit;Freeport-mcmoran Copper & Gold;784.71
3423621;270;10107;2013-01-03T09:08:16;visaelectron;4508 3402 6778 1218;10107;"Campbell Hausfeld 1-1/4"" Brad Nails";Fossil;857.22
3423622;190;10001;2013-01-27T10:27:22;visaelectron;4508 6447 4455 0751;10001;"Great Neck Saw Ra38 3/8"" Drive Forward And Reverse Ratchet";Wesco Distribution;661.87
3423623;821;10006;2013-01-24T09:13:16;instapayment;6399 3624 0807 9994;10006;Surebonder Ultra-mini Dual Temperature Glue Gun;General Electric Capital Corporation;168.24
3423624;575;10008;2013-01-12T02:34:29;amex;3415 1828 8497 158;10008;Retractable Screw-holder With Magnetic Tip;Cablevision Systems Corp;552.09
3423625;229;10119;2013-01-08T09:28:51;amex;3730 3302 5031 840;10119;Mayhew Tools Mayhew Tools - Catspaw Deck Wrecker Cats Paw Deck Wrecker: 479-41104 - Cats Paw Deck Wr;Henry Schein;491.2
3423627;59;10166;2013-01-23T03:46:47;visa;4745 9376 0691 4005;10166;Rockwell Rk3440k Versacut Circular Saw Kit;Zale Corporation;370.52
3423628;365;10164;2013-01-09T06:45:54;mastercard;5451 3540 4330 6988;10164;Wagner Ht1000 Heat Tool;Vwr International;545.9
3423629;777;10188;2013-01-27T11:25:25;instapayment;6390 8716 5826 9492;10188;Black & Decker 12-volt Cordless Air Station Inflator;Pc Connection;24.98
3423630;838;10335;2013-01-06T07:29:54;visaelectron;4913 9804 6944 5036;10335;"Hitachi 3/8"" 6 Amp Drill With Keyless Chuck";Kbr;395.05
3423631;504;10147;2013-01-12T02:09:51;maestro;5018 3638 7468 3312;10147;Black & Decker 7.5-amp Reciprocating Saw;Seaboard Foods;676.05
3423632;898;10202;2013-01-18T06:05:56;maestro;6761 5113 4098 7827;10202;Lincoln Industrial 14.4 Volt Powerlube Kit - 2 Battery;Fred's;438.01
3423633;811;10003;2013-01-25T10:06:58;visaelectron;4844 9776 6008 3107;10003;Eclipse 900-206 Helping Hands With Solder Iron Holder - 2.5x;Nustar Energy;447.56
3423634;330;10018;2013-01-06T01:57:42;visa;4319 7573 1351 4849;10018;Buffalo Tools 19 Piece Hole Saw Set;Ross Stores;992.27
3423635;151;10121;2013-01-06T04:03:57;maestro;5020 3518 3542 8196;10121;"Campbell Hausfeld 1/2"" Pneumatic Socket Set";Omnicom Group;748.05
3423636;550;10160;2013-01-18T12:58:50;mastercard;5535 7560 4372 2420;10160;Black And Decker Power Tools Gco.12sfb 12-volt Cordless Drill With Stud Sensor And St;Kb Home;819.31
3423638;131;10137;2013-01-22T11:02:31;instapayment;6373 5309 8564 4766;10137;"Qep Tile Tools 60089 7"" Portable Tile Saw";Dish Network Corporation;15.51
3423639;257;10152;2013-01-16T02:12:16;instapayment;6377 4878 3591 4046;10152;Rockwell Shopseries 18-volt Cordless Drill/driver Kit;Tupperware Corporation;926.06
3423640;68;10096;2013-01-27T08:41:19;mastercard;5587 6954 3992 3332;10096;"Hitachi 18v 1/2"" Cordless Drill/driver Kit W/35-pc Hi-torq Impact Rated Torsion Bit Set";American Family Insurance;610.22
3423641;251;10326;2013-01-16T03:31:04;visaelectron;4844 9159 9708 0347;10326;Skil 4-1/2 Angle Grinders - 4 1/2 Angle Grinder With Metal Front 6 Amp;Foot Locker;185.52
3423642;338;10262;2013-01-05T06:22:54;amex;3783 1236 9207 900;10262;"Superior Tool 2"" Pvc Pipe Cutter";Expedia;90.04
3423643;13;10041;2013-01-28T05:20:33;mastercard;5418 6865 2180 1572;10041;Numax 18 Gauge 2 In 1 Brad Nailer & Stapler;At&t;352.89
3423644;838;10164;2013-01-01T05:46:53;visa;4443 4216 4464 5967;10164;Wagner Ht1000 Heat Tool;Vwr International;545.9
3423645;523;10290;2013-01-16T10:55:20;visa;4473 1306 5709 3618;10290;Wagner 0283022c Ht775 Heat Gun;Southern Company;471.05
3423646;13;10233;2013-01-15T06:25:26;amex;3722 2512 8673 285;10233;Dremel 225-01 Flex Shaft;Urs Corporation;887.39
3423647;213;10055;2013-01-20T11:10:59;visaelectron;4026 0309 5923 3197;10055;Dewalt Power Tools . 38inch Heavy-duty Vsr Pistol Grip Drill With Keyless Chuck Dwd;Avon Products;99.52
3423649;497;10078;2013-01-19T12:41:45;amex;3752 0110 0079 673;10078;Lincoln Industrial Grease Gun Pistol 16 0z W/18whip Hose &rigid Pipe;Nstar Gas & Electric Company;834.99
3423650;485;10017;2013-01-12T10:12:34;instapayment;6399 1638 7030 8386;10017;Surebonder Wide Crown Pneumatic Stapler;Bnsf Railway Company;18.18
3423651;466;10296;2013-01-10T03:13:33;maestro;6304 4893 9240 7933;10296;Campbell Hausfeld Air Compressor Oil - 16 Ounce;Markel Corporation;975.67
3423652;720;10000;2013-01-16T04:43:44;instapayment;6393 0164 4920 5713;10000;Ingersoll Rand 80 Gallon Type-30 Reciprocating Air Compressor;Covanta Holding Corporation;953.64
3423656;294;10196;2013-01-28T10:32:33;amex;3401 0661 3922 909;10196;Hitachi 18 V Ni-cad Cordless Driver Drill;Dell;720.51
3423657;560;10265;2013-01-08T08:05:08;visaelectron;4026 3094 3759 1123;10265;Professional Woodworker Pneumatic Brad Nailer And Air Stapler Combo Tool Kit;John Deere Company;315.88
3423658;275;10147;2013-01-07T02:57:24;amex;3708 2224 9903 070;10147;Black & Decker 7.5-amp Reciprocating Saw;Seaboard Foods;676.05
3423660;768;10086;2013-01-01T08:29:28;visaelectron;4175 0047 3281 6387;10086;Hyundai Hpc3010 Air Compressor Kit;Exterran Holdings;509.13
3423662;329;10011;2013-01-23T07:53:33;amex;3793 5394 3802 542;10011;Ingersoll Rand Impact 1/2;Land O'lakes;668.53
3423663;889;10245;2013-01-28T11:27:14;maestro;5038 4333 9801 8398;10245;"Rockwell Shopseries 13 Amp 7 1/4"" Circular Saw";Univision Communications;265.61
3423664;307;10273;2013-01-04T04:26:40;mastercard;5232 7877 1421 2975;10273;Homeright Heat Pro Deluxe Ii Heat Tool;Leggett & Plattorporated;659.26
3423666;119;10328;2013-01-25T02:56:58;visa;4411 9110 2169 4230;10328;Kawasaki Composite Air Hammer Kit;Freeport-mcmoran Copper & Gold;784.71
3423668;536;10002;2013-01-19T11:21:54;visa;4059 6738 6527 9281;10002;12-volt Lith-ion Drill W/ Bonus Case & 150-piece Socket Set;Advance Auto Parts;455.88
3423669;984;10211;2013-01-02T09:03:05;maestro;5020 2813 6787 8031;10211;Primefit 30-piece Air Compressor Accessory Kit;Securian Financial;267.36
3423671;822;10288;2013-01-10T10:30:40;mastercard;5170 9610 6641 3663;10288;"Skil 9295-01 4-1/2"" Angle Grinder";Pvh Corporation;798.61
3423672;496;10314;2013-01-24T08:02:59;visaelectron;4175 0047 4317 0857;10314;"Hitachi Power Tools Fdv16vb2 5/8"" Hammer Drill Vsr";Buckeye Partners;775.07
3423673;469;10288;2013-01-29T09:33:26;maestro;6763 6064 1077 1172;10288;"Skil 9295-01 4-1/2"" Angle Grinder";Pvh Corporation;798.61
3423674;66;10130;2013-01-30T07:27:47;instapayment;6375 2533 9902 4511;10130;Eclipse 900-230 Flux Bottle Pack - 2-pack;The Blackstone Group;63.42
3423676;876;10125;2013-01-16T08:48:34;mastercard;5589 2639 2523 0544;10125;Astro Pneumatic 9707 1/4-inch Drive Mini Gearless Ratchet;Consolidated Edison Company Of New York;195.08
3423677;692;10274;2013-01-20T04:21:45;maestro;6759 9114 0385 1205;10274;Black & Decker Heat Gun;Plexus;168.47
